"icpsr","name","birthyear","gender"
"21737","MITCHELL, P. P.","1961","M"
"21738","MURPHY, S. N.","1978","F"
"21739","OÂ€™HALLERAN, T. M.","1946","M"
"21740","PANETTA, J. S.","1969","M"
"21741","RASKIN, J. J.","1962","M"
"21742","ROONEY, F. P.","1953","M"
"21743","ROSEN, J. J.","1957","F"
"21744","RUTHERFORD, J. H.","1952","M"
"21745","SMUCKER, L. K.","1964","M"
"21746","SOTO, D. H.","1978","M"
"21747","WIED, T. A.","1976","M"
"21748","TAYLOR, S. W.","1979","M"
"21749","MALOY, C. M.","1981","F"
"21750","ESTES, R. C.","1956","M"
"21751","GIANFORTE, G. P.","1961","M"
"21753","NORMAN, R. C.","1953","M"
"21754","GOMEZ, J. C.","1974","M"
"21755","CURTIS, J. R.","1960","M"
"21756","LAMB, C. G.","1984","M"
"21757","LESKO, D. D.","1958","F"
"21758","CLOUD, M. F.","1975","M"
"21759","BALDERSON, T. F.","1962","M"
"21760","HERN, K. R.","1961","M"
"21761","MORELLE, J. D.","1957","M"
"21762","SCANLON, M. G.","1959","F"
"21763","WILD, S. E.","1957","F"
"21900","ALLRED, C. Z.","1983","M"
"21901","ARMSTRONG, K. S.","1976","M"
"21902","AXNE, C. F.","1965","F"
"21903","BAIRD, J. R.","1945","M"
"21904","BRINDISI, A. C.","1978","M"
"21905","BURCHETT, T. R.","1964","M"
"21906","CASTEN, S. G.","1971","M"
"21907","WALKINSHAW, J. R.","1982","M"
"21908","CLINE, B. R.","1972","M"
"21909","COX, T. P.","1963","M"
"21910","CRAIG, A. M.","1972","F"
"21911","CRENSHAW, D. W.","1984","M"
"21912","CROW, J. A.","1979","M"
"21913","CUNNINGHAM, J. S.","1982","M"
"21914","DAVIDS, S. R.","1980","F"
"21915","DEAN, M. M.","1959","F"
"21916","DELGADO, A. W.","1977","M"
"21917","ESCOBAR, V. W.","1969","F"
"21918","FINKENAUER, A. E.","1988","F"
"21919","FLETCHER, L. W.","1975","F"
"21920","FULCHER, R. G.","1973","M"
"21921","GARCÃ­A, J. G.","1956","M"
"21922","GARCIA, S. R.","1950","F"
"21923","GOLDEN, J. F.","1982","M"
"21924","GONZALEZ, A. F.","1984","M"
"21925","GOODEN, L. W.","1982","M"
"21926","GREEN, M. E.","1964","M"
"21927","GUEST, M. M.","1970","M"
"21928","HAALAND, D. A.","1960","F"
"21929","HAGEDORN, J. G.","1962","M"
"21930","HARDER, J. A.","1986","M"
"21931","HAYES, J. A.","1973","F"
"21932","HILL, K. E.","1987","F"
"21933","HORN, K. S.","1976","F"
"21934","HOULAHAN, C. M.","1967","F"
"21935","JOHNSON, D. R.","1976","M"
"21936","JOYCE, J. M.","1957","M"
"21937","KIM, A. M.","1982","M"
"21938","LEE, S. M.","1966","F"
"21939","LEVIN, M. A.","1978","M"
"21940","LEVIN, A. F.","1960","M"
"21941","LURIA, E. G.","1975","F"
"21942","MALINOWSKI, T. F.","1965","M"
"21943","MCADAMS, B. S.","1974","M"
"21944","MCBATH, L. G.","1960","F"
"21945","MEUSER, D. M.","1964","M"
"21946","MILLER, C. D.","1950","F"
"21947","MUCARSEL-POWELL, D. P.","1971","F"
"21948","NEGUSE, J. A.","1984","M"
"21949","OCASIO-CORTEZ, A. M.","1989","F"
"21950","OMAR, I. M.","1981","F"
"21951","PAPPAS, C. M.","1980","M"
"21952","PENCE, G. E.","1956","M"
"21953","PHILLIPS, D. J.","1969","M"
"21954","PORTER, K. E.","1974","F"
"21955","PRESSLEY, A. R.","1974","F"
"21956","RESCHENTHALER, G. M.","1983","M"
"21957","HALL, K. S.","1971","M"
"21958","ROSE, M. C.","1986","M"
"21959","ROSE, J. W.","1965","M"
"21960","ROUDA, H. P.","1961","M"
"21961","ROY, C. W.","1972","M"
"21962","SCHRIER, K. R.","1968","F"
"21963","SHALALA, D. E.","1941","F"
"21964","SHERRILL, M. M.","1972","F"
"21965","SLOTKIN, E. R.","1976","F"
"21966","SPANBERGER, A. D.","1979","F"
"21967","SPANO, R. P.","1966","M"
"21968","STANTON, G. A.","1970","M"
"21969","STAUBER, P. M.","1966","M"
"21970","STEIL, B. R.","1981","M"
"21971","STEUBE, W. G.","1978","M"
"21972","STEVENS, H. M.","1983","F"
"21973","TAYLOR, V. F.","1972","M"
"21974","TIMMONS, W. R.","1984","M"
"21975","TLAIB, R. M.","1976","F"
"21976","TORRES SMALL, X. C.","1984","F"
"21977","TRAHAN, L. R.","1973","F"
"21978","TRONE, D. J.","1955","M"
"21979","UNDERWOOD, L. G.","1986","F"
"21980","VAN DREW, J. M.","1953","M"
"21981","TURNER, S. M.","1954","M"
"21982","WATKINS, S. C.","1976","M"
"21983","WEXTON, J. D.","1968","F"
"21984","WRIGHT, R. L.","1953","M"
"21985","SEMPOLINSKI, J. J.","1983","M"
"21986","VANCE, J. M.","1984","M"
"21987","MURPHY, G. F.","1963","M"
"2605","FALEOMAVAEGA, E. F.","1943","M"
"29100","CRAMER, R. E.","1947","M"
"29101","PASTOR, E. L.","1943","M"
"29104","DOOLITTLE, J. T.","1950","M"
"29105","DOOLEY, C. M.","1954","M"
"29106","WATERS, M. M.","1938","F"
"29107","CUNNINGHAM, R. H.","1941","M"
"29109","DELAURO, R. L.","1943","F"
"29118","NUSSLE, J. A.","1960","M"
"29120","JEFFERSON, W. J.","1947","M"
"29122","GILCHREST, W. T.","1946","M"
"29123","OLVER, J. W.","1936","M"
"29124","CAMP, D. L.","1953","M"
"29126","RAMSTAD, J. M.","1946","M"
"29127","PETERSON, C. C.","1944","M"
"29132","ANDREWS, R. E.","1957","M"
"29134","SERRANO, J. E.","1943","M"
"29135","TAYLOR, C. H.","1941","M"
"29136","HOBSON, D. L.","1936","M"
"29137","BOEHNER, J. A.","1949","M"
"29143","JOHNSON, S. R.","1930","M"
"29144","EDWARDS, T. D.","1951","M"
"29147","SANDERS, B. J.","1941","M"
"29149","MORAN, J. P.","1945","M"
"29300","EVERETT, T. E.","1937","M"
"29301","BACHUS, S. T.","1947","M"
"29309","WOOLSEY, L. C.","1937","F"
"29311","POMBO, R. W.","1961","M"
"29312","ESHOO, A. G.","1942","F"
"29313","FARR, S. L.","1941","M"
"29315","MCKEON, H. P.","1938","M"
"29316","BECERRA, X. W.","1958","M"
"29317","ROYBAL-ALLARD, L. E.","1941","F"
"29318","HARMAN, J. A.","1945","F"
"29321","ROYCE, E. R.","1951","M"
"29323","CALVERT, K. S.","1953","M"
"29325","FILNER, B. L.","1942","M"
"29326","MCINNIS, S. T.","1953","M"
"29327","CASTLE, M. N.","1939","M"
"29328","BROWN, C. W.","1946","F"
"29331","MICA, J. L.","1943","M"
"29335","DEUTSCH, P. M.","1957","M"
"29336","DIAZ-BALART, L. D.","1954","M"
"29337","HASTINGS, A. L.","1936","M"
"29338","KINGSTON, J. D.","1955","M"
"29339","BISHOP, S. D.","1947","M"
"29340","COLLINS, M. A.","1944","M"
"29341","LINDER, J. M.","1942","M"
"29344","MCKINNEY, C. L.","1955","F"
"29346","RUSH, B. L.","1946","M"
"29348","GUTIÃ©RREZ, L. V.","1953","M"
"29349","MANZULLO, D. A.","1944","M"
"29350","BUYER, S. E.","1958","M"
"29352","LEWIS, R. V.","1946","M"
"29355","WYNN, A. R.","1951","M"
"29356","BARTLETT, R. G.","1926","M"
"29358","MEEHAN, M. T.","1956","M"
"29360","STUPAK, B. T.","1952","M"
"29361","HOEKSTRA, P. W.","1953","M"
"29362","EHLERS, V. J.","1934","M"
"29364","SMITH, N. H.","1934","M"
"29365","KNOLLENBERG, J. K.","1933","M"
"29368","THOMPSON, B. G.","1948","M"
"29369","ACEVEDO-VILÃ¡, A. M.","1962","M"
"29373","MENENDEZ, R. J.","1954","M"
"29375","KING, P. T.","1944","M"
"29377","NADLER, J. L.","1947","M"
"29378","VELÃ¡ZQUEZ, N. M.","1953","F"
"29379","MALONEY, C. B.","1946","F"
"29380","HINCHEY, M. D.","1938","M"
"29381","QUINN, J. R.","1951","M"
"29383","WATT, M. L.","1945","M"
"29384","POMEROY, E. R.","1952","M"
"29386","PORTMAN, R. J.","1955","M"
"29389","BROWN, S. S.","1952","M"
"29390","PRYCE, D. D.","1951","F"
"29392","ISTOOK, E. J.","1950","M"
"29393","LUCAS, F. D.","1960","M"
"29396","HOLDEN, T. D.","1957","M"
"29397","GREENWOOD, J. C.","1951","M"
"29500","SALMON, M. A.","1958","M"
"29501","SHADEGG, J. B.","1949","M"
"29502","HAYWORTH, J. D.","1958","M"
"29504","LOFGREN, Z. E.","1947","F"
"29505","RADANOVICH, G. P.","1955","M"
"29508","BILBRAY, B. P.","1951","M"
"29509","WELDON, D. J.","1953","M"
"29510","FOLEY, M. A.","1954","M"
"29513","NORWOOD, C. W.","1941","M"
"29516","WELLER, G. C.","1957","M"
"29517","LAHOOD, R. H.","1945","M"
"29519","SOUDER, M. E.","1950","M"
"29520","HOSTETTLER, J. N.","1961","M"
"29522","LATHAM, T. P.","1948","M"
"29524","TIAHRT, T. O.","1951","M"
"29525","TAKAI, M. A.","1967","M"
"29532","GUTKNECHT, G. W.","1951","M"
"29534","WICKER, R. F.","1951","M"
"29535","MCCARTHY, K. T.","1947","F"
"29538","BASS, C. F.","1952","M"
"29539","LOBIONDO, F. A.","1946","M"
"29541","FRELINGHUYSEN, R. P.","1946","M"
"29544","KELLY, S. W.","1936","F"
"29546","JONES, W. B.","1943","M"
"29548","BURR, R. M.","1955","M"
"29549","MYRICK, S. W.","1941","F"
"29550","CHABOT, S. J.","1953","M"
"29552","NEY, R. W.","1954","M"
"29553","LATOURETTE, S. C.","1954","M"
"29559","FATTAH, C. A.","1956","M"
"29561","DOYLE, M. F.","1953","M"
"29563","ENGLISH, P. D.","1956","M"
"29564","KENNEDY, P. J.","1967","M"
"29565","SANFORD, M. J.","1960","M"
"29567","WAMP, Z. O.","1957","M"
"29570","STOCKMAN, S. R.","1956","M"
"29571","DOGGETT, L. A.","1946","M"
"29572","THORNBERRY, M. M.","1958","M"
"29573","JACKSON LEE, S. M.","1950","F"
"29576","DAVIS, T. M.","1949","M"
"29580","HASTINGS, D. M.","1941","M"
"29581","NETHERCUTT, G. R.","1944","M"
"29584","CUBIN, B. L.","1946","F"
"29585","JACKSON, J. L.","1965","M"
"29586","MILLENDER-MCDONALD, J. T.","1938","F"
"29587","CUMMINGS, E. E.","1951","M"
"29588","BLUMENAUER, E. A.","1948","M"
"29701","ADERHOLT, R. B.","1965","M"
"29702","BERRY, R. M.","1942","M"
"29703","SNYDER, V. F.","1947","M"
"29705","TAUSCHER, E. O.","1951","F"
"29707","SHERMAN, B. J.","1954","M"
"29709","SANCHEZ, L. B.","1960","F"
"29710","DEGETTE, D. L.","1957","F"
"29713","BOYD, A. C.","1945","M"
"29714","DAVIS, J. H.","1957","M"
"29715","WEXLER, R. E.","1961","M"
"29717","DAVIS, D. K.","1941","M"
"29718","SHIMKUS, J. M.","1958","M"
"29720","CARSON, J. M.","1938","F"
"29721","BOSWELL, L. L.","1934","M"
"29722","MORAN, J. W.","1954","M"
"29723","RYUN, J. R.","1947","M"
"29725","NORTHUP, A. M.","1948","F"
"29727","JOHN, C. J.","1960","M"
"29728","ALLEN, T. H.","1945","M"
"29729","MCGOVERN, J. P.","1959","M"
"29730","TIERNEY, J. F.","1951","M"
"29731","DELAHUNT, W. D.","1941","M"
"29733","KILPATRICK, C. C.","1945","F"
"29734","PICKERING, C. W.","1963","M"
"29735","BLUNT, R. D.","1950","M"
"29736","EMERSON, J. H.","1950","F"
"29737","HULSHOF, K. C.","1958","M"
"29739","GIBBONS, J. A.","1944","M"
"29741","PASCRELL, B. J.","1937","M"
"29742","ROTHMAN, S. R.","1952","M"
"29744","MCCARTHY, C. P.","1944","F"
"29745","ETHERIDGE, B. R.","1941","M"
"29746","MCINTYRE, M. P.","1956","M"
"29747","STRICKLAND, T. E.","1941","M"
"29748","KUCINICH, D. J.","1946","M"
"29750","HOOLEY, D. L.","1939","F"
"29751","PETERSON, J. E.","1938","M"
"29752","PITTS, J. R.","1939","M"
"29755","JENKINS, W. L.","1936","M"
"29756","FORD, H. E.","1970","M"
"29757","SANDLIN, M. A.","1952","M"
"29758","TURNER, J. J.","1946","M"
"29759","SESSIONS, P. A.","1955","M"
"29760","BRADY, K. P.","1955","M"
"29761","LAMPSON, N. V.","1945","M"
"29762","GRANGER, K. G.","1943","F"
"29763","HINOJOSA, R. E.","1940","M"
"29764","REYES, S. R.","1944","M"
"29766","CANNON, C. B.","1950","M"
"29768","SMITH, A. K.","1965","M"
"29769","KIND, R. J.","1963","M"
"29771","RODRIGUEZ, C. D.","1946","M"
"29773","FOSSELLA, V. J.","1965","M"
"29774","CAPPS, L. W.","1938","F"
"29775","BONO MACK, M. W.","1961","F"
"29776","MEEKS, G. W.","1953","M"
"29777","BRADY, R. A.","1945","M"
"29778","LEE, B. G.","1946","F"
"29779","WILSON, H. A.","1960","F"
"29901","THOMPSON, M. M.","1951","M"
"29902","OSE, D. R.","1955","M"
"29903","NAPOLITANO, G. F.","1936","F"
"29905","MILLER, G. G.","1948","M"
"29906","UDALL, M. E.","1950","M"
"29907","TANCREDO, T. G.","1945","M"
"29908","LARSON, J. B.","1948","M"
"29909","ISAKSON, J. H.","1944","M"
"29910","SIMPSON, M. K.","1950","M"
"29911","SCHAKOWSKY, J. D.","1944","F"
"29912","BIGGERT, J. L.","1937","F"
"29914","HILL, B. P.","1953","M"
"29915","MOORE, D. B.","1945","M"
"29916","LUCAS, K. R.","1933","M"
"29917","FLETCHER, E. L.","1952","M"
"29918","VITTER, D. M.","1961","M"
"29919","CAPUANO, M. E.","1952","M"
"29921","TERRY, L. R.","1962","M"
"29922","BERKLEY, S. F.","1951","F"
"29923","HOLT, R. D.","1948","M"
"29924","UDALL, T. S.","1948","M"
"29925","CROWLEY, J. E.","1962","M"
"29926","WEINER, A. D.","1964","M"
"29927","SWEENEY, J. E.","1955","M"
"29928","REYNOLDS, T. M.","1950","M"
"29929","HAYES, R. C.","1945","M"
"29930","JONES, S. T.","1949","F"
"29931","WU, D. D.","1955","M"
"29932","WALDEN, G. P.","1957","M"
"29933","SHERWOOD, D. L.","1941","M"
"29934","HOEFFEL, J. M.","1950","M"
"29935","TOOMEY, P. J.","1961","M"
"29936","DEMINT, J. W.","1951","M"
"29937","INSLEE, J. A.","1951","M"
"29938","BAIRD, B. N.","1956","M"
"29939","RYAN, P. D.","1970","M"
"29940","BALDWIN, T. B.","1962","F"
"29941","GREEN, M. A.","1960","M"
"29942","BACA, J. T.","1947","M"
"29943","GONZALEZ, C. A.","1945","M"
"31100","CURSON, D. A.","1948","M"
"31101","DELBENE, S. K.","1962","F"
"31102","MASSIE, T. K.","1971","M"
"31103","PAYNE, D. M.","1958","M"
"39300","INGLIS, B. W.","1959","M"
"39301","CLYBURN, J. E.","1940","M"
"39302","BONILLA, H. S.","1954","M"
"39304","GREEN, G. E.","1947","M"
"39305","JOHNSON, E. B.","1935","F"
"39307","SCOTT, R. C.","1947","M"
"39308","GOODLATTE, B. W.","1952","M"
"39312","DUNN, J. B.","1941","F"
"39316","MCHUGH, J. M.","1948","M"
"89767","GOODE, V. H.","1946","M"
"90327","ALEXANDER, R. M.","1946","M"
"99342","DEAL, N. A.","1942","M"
